ID	ROC-AUC	Pval
GSE467	1.00	0.00187
GSE252357	0.30	0.0507
GSE99963	0.91	0.000105
GSE126296	0.42	0.335
GSE104079	0.11	0.0039
GSE59088	0.68	0.0669
GSE221210	0.75	0.00548
GSE43856	0.36	0.0952
GSE11803	0.00	0.0525
GSE83578	0.05	1.27e-12
GSE51216	0.68	0.302
GSE46075	0.60	0.375
GSE122671	0.38	0.0399
EMEXP740	0.31	0.171
GSE86931	0.62	0.411
GSE41769	0.57	0.407
GSE44051	0.42	0.72
GSE33886	1.00	0.00564
GSE21496	0.61	0.263
GSE28422	0.39	0.0207
GSE24235	0.19	0.0231
GSE23697	0.43	0.253
GSE19062	0.17	6.7e-05
GSE1832	0.50	0.754
GSE28498	0.71	0.0386
GSE87748	0.58	0.301
GSE27285	0.33	0.131
GSE33603	0.37	0.101
GSE43219	0.39	0.421
GSE59363	0.57	0.554
GSE68585	0.57	0.591
GSE71972	0.50	0.462
GSE199225	0.04	6.46e-12
GSE4252	0.27	0.212
GSE7286	0.17	0.0818
GSE104999	0.79	0.0088
