ID	ROC-AUC	Pval
GSE46075	0.60	0.375
GSE86931	0.62	0.411
GSE28498	0.71	0.0386
GSE41769	0.57	0.407
GSE21496	0.61	0.263
GSE33886	1.00	0.00564
GSE59088	0.68	0.0669
GSE221210	0.75	0.00548
GSE99963	0.91	0.000105
GSE51216	0.68	0.302
GSE178262	0.81	0.133
GSE144304	0.86	1.19e-05
GSE110747	0.52	0.907
GSE236600	0.49	0.672
GSE242354	0.21	0.00283
GSE467	1.00	0.00187
MSDB	0.57	0.202
GSE51216	0.81	0.191
GSE43760	0.40	0.394
GSE111555	0.93	2.96e-05
GSE230102	0.48	0.476
GSE155933	0.50	0.895
GSE155271	0.62	0.329
GSE165630	0.50	0.373
GSE17190	0.49	0.911
GSE179394	0.62	0.15
GSE34788	0.52	0.891
GSE1718	0.22	0.182
GSE97084	0.52	0.805
GSE83352	0.49	0.993
GSE28998	0.80	0.0396
GSE9103	0.51	0.858
GSE58249	0.50	0.996
GSE68072	0.78	0.0279
GSE68072	0.78	0.0279
