ID,ROC-AUC,Pval,Gender,Exercise Type,Intensity,Age,-Log10 P value,Significant
GSE117525,0.39,0.0786,Male,,,,1.104577453960592,False
GSE117525,0.45,0.479,Female,,,,0.3196644865854368,False
GSE126296,0.31,0.387,Male,,,,0.4122890349810886,False
GSE126296,0.41,0.589,Female,,,,0.2298847052128984,False
GSE139258,0.25,0.623,Male,,,,0.2055119533408304,False
GSE139258,0.6,0.8440000000000001,Female,,,,0.07365755337434496,False
GSE140089,0.19,0.0421,Male,,,,1.3757179041643317,True
GSE140089,0.0,0.0,Female,,,,inf,True
GSE144304,0.82,0.0059700000000000005,Male,,,,2.224025668870631,True
GSE144304,0.91,0.00031099999999999997,Female,,,,3.5072396109731625,True
GSE24235,0.11,0.06,Male,,,,1.2218487496163564,False
GSE24235,0.25,0.21600000000000005,Female,,,,0.6655462488490691,False
GSE28422,0.4,0.15,Male,,,,0.8239087409443188,False
GSE28422,0.35,0.0514,Female,,,,1.2890368810047244,False
GSE28998,0.88,0.0764,Male,,,,1.11690664142431,False
GSE28998,0.67,0.446,Female,,,,0.3506651412878581,False
GSE43219,0.36,0.588,Male,,,,0.23062267392386154,False
GSE43219,0.44,0.544,Female,,,,0.2644011003018201,False
GSE44051,0.36,0.395,Male,,,,0.40340290437353976,False
GSE44051,0.56,0.675,Female,,,,0.17069622716897506,False
GSE60591,0.55,0.5539999999999999,Male,,,,0.25649023527157017,False
GSE60591,0.57,0.312,Female,,,,0.5058454059815571,False
GSE68585,0.69,0.474,Male,,,,0.324221658325915,False
GSE68585,1.0,0.0,Female,,,,inf,True
GSE252357,0.43,0.4270000000000001,Male,,,,0.36957212497497616,False
GSE252357,0.85,0.0141,Female,,,,1.8507808873446203,True
GSE252357,0.36,0.418,Male,,,,0.3788237182249649,False
GSE252357,0.0,0.0492,Female,,,,1.3080348972326397,True
GSE72462,0.0,0.0,Male,,,,inf,True
GSE72462,0.0,0.191,Female,,,,0.7189666327522725,False
GSE83352,0.57,0.45899999999999996,Male,,,,0.33818731446273875,False
GSE83352,0.45,0.665,Female,,,,0.17717835469689538,False
GSE83578,0.03,4.6399999999999996e-05,Male,,,,4.3334820194451185,True
GSE83578,0.07,0.00328,Female,,,,2.484126156288321,True
GSE8479,0.21,0.0124,Male,,,,1.9065783148377649,True
GSE8479,0.29,0.047,Female,,,,1.3279021420642825,True
GSE46075,0.77,0.106,,Endurance/Aerobic,,,0.9746941347352298,False
GSE46075,0.48,0.787,,Resistance/Strength,,,0.10402526764093542,False
GSE97084,0.68,0.158,,Endurance/Aerobic,,,0.8013429130455774,False
GSE97084,0.48,0.905,,Resistance/Strength,,,0.04335142079479668,False
GSE9405,0.11,0.00457,,Endurance/Aerobic,,,2.3400837999301496,True
GSE9405,0.15,0.0198,,Resistance/Strength,,,1.7033348097384688,True
GSE59088,0.46,0.784,,Endurance/Aerobic,,,0.10568393731556154,False
GSE59088,0.68,0.0669,,Resistance/Strength,,,1.174573882232177,False
GSE58249,0.5,0.9440000000000001,,Endurance/Aerobic,,,0.02502800570193105,False
GSE58249,0.75,0.413,,Resistance/Strength,,,0.384049948343599,False
GSE165630,0.56,0.8240000000000001,,Endurance/Aerobic,,,0.08407278830288423,False
GSE165630,0.5,0.373,,Resistance/Strength,,,0.4282911681913124,False
GSE111555,1.0,0.0,,,Low,,inf,True
GSE111555,0.92,0.000458,,,High,,3.3391345219961317,True
GSE144304,0.22,0.00062,,,Low,,3.207608310501746,True
GSE144304,0.43,0.465,,,High,,0.3325470471100461,False
GSE34788,0.54,0.5379999999999999,,,Low,,0.2692177243336108,False
GSE34788,0.52,0.8909999999999999,,,High,,0.0501222959631252,False
GSE46075,0.77,0.106,,,Low,,0.9746941347352298,False
GSE144304,0.08,6.440000000000001e-05,,,,Young,4.191114132640188,True
GSE144304,0.42,0.409,,,,Old,0.38827669199265824,False
GSE198266,0.78,0.433,,,,Young,0.36351210364663455,False
GSE198266,0.22,0.20800000000000002,,,,Old,0.6819366650372385,False
GSE236600,0.15,0.0283,,,,Young,1.5482135644757098,True
GSE236600,0.47,0.863,,,,Old,0.06398920428479042,False
GSE28422,0.35,0.0514,,,,Young,1.2890368810047244,False
GSE28422,0.4,0.15,,,,Old,0.8239087409443188,False
GSE8479,0.29,0.0647,,,,Young,1.1890957193312996,False
GSE8479,0.21,0.0124,,,,Old,1.9065783148377649,True
GSE97084,0.68,0.158,,,,Young,0.8013429130455774,False
GSE97084,0.42,0.7829999999999999,,,,Old,0.10623823794205656,False
