ID	ROC-AUC	Pval
GSE198266	0.00	1.61e-07
EMTAB1788	0.35	0.0448
GSE72462	0.36	0.557
GSE140089	0.17	0.00853
GSE53598	0.31	0.0796
GSE9405	0.12	0.00555
GSE40551	0.08	0.00207
GSE117070	0.06	1.34e-14
GSE120862	0.08	0.000000000000151
GSE109657	0.33	0.139
GSE5105	0.00	7.27e-22
GSE252357	0.30	0.0507
GSE126296	0.42	0.335
GSE104079	0.11	0.0039
GSE43856	0.36	0.0952
GSE11803	0.00	0.0525
GSE83578	0.05	1.27e-12
GSE250122	0.36	0.155
GSE122671	0.38	0.0399
E-MEXP-740	0.31	0.171
GSE117525	0.39	0.0786
GSE44051	0.42	0.72
GSE27536	0.38	0.403
GSE60591	0.49	0.971
GSE28422	0.39	0.0207
GSE24235	0.19	0.0231
GSE16907	0.30	0.191
GSE23697	0.43	0.253
GSE19062	0.17	6.7e-05
GSE1832	0.50	0.754
GSE87748	0.58	0.301
GSE27285	0.33	0.131
GSE126001	0.33	0.234
GSE1786	0.06	0.0117
GSE33603	0.37	0.101
GSE43219	0.39	0.421
GSE59363	0.57	0.554
GSE68585	0.57	0.591
GSE71972	0.50	0.462
GSE199225	0.04	6.46e-12
GSE4252	0.27	0.212
GSE7286	0.17	0.0818
GSE3606	0.00	7.27e-22
GSE19420	0.37	0.437
GSE139258	0.10	0.011
