Sample Name	Num Samples	ROC-AUC	Pval
GSE1295	6	0.56	0.795
GSE28998	14	0.86	0.0198
GSE33886	6	1.00	0.0231
GSE34788	60	0.57	0.351
GSE48278	20	0.65	0.301
GSE58249	14	0.61	0.406
GSE17190	24	0.56	0.655
GSE165630	14	1.00	1.55e-05
GSE99963	14	0.92	0.00713
GSE68072	23	0.79	0.0151
GSE155271	13	0.65	0.213
GSE9103	20	0.70	0.529
GSE46075	16	0.78	0.0865
GSE28422	54	0.57	0.345
GSE28498	38	0.70	0.0242
GSE83352	8	0.62	0.845
GSE97084	37	0.67	0.128
GSE111555	32	0.92	4.49e-05
GSE155933	193	0.56	0.357
GSE179394	50	0.60	0.273
GSE117525	46	0.60	0.247
