Sample Name	Num Samples	ROC-AUC	Pval	Exercise Type
GSE21496	21	0.4	0.368	Short Term
GSE117070	82	0.05	7.31e-17	Short Term
GSE43856	16	0.14	0.00832	Short Term
GSE71972	16	0.22	0.767	Short Term
GSE5105	44	0.0	1.15e-22	Short Term
E-MEXP-740	32	0.35	0.0856	Short Term
GSE7286	18	0.35	0.164	Short Term
GSE24235	21	0.19	0.0333	Short Term
GSE27285	23	0.32	0.0765	Short Term
GSE139258	12	0.06	0.00316	Short Term
GSE104999	24	0.31	0.0909	Short Term
GSE126001	16	0.31	0.286	Short Term
GSE199225	60	0.15	4.15e-07	Short Term
GSE122671	88	0.39	0.0494	Short Term
GSE126296	14	0.41	0.575	Short Term
GSE1718	6	0.33	0.435	Short Term
GSE44051	48	0.12	8.17e-06	Short Term
GSE1786	12	0.33	0.436	Short Term
GSE1832	8	0.13	0.203	Short Term
GSE4252	8	0.31	0.465	Short Term
GSE8479	39	0.28	0.00319	Short Term
GSE16907	16	0.27	0.135	Short Term
GSE40551	16	0.11	0.00331	Short Term
GSE43760	24	0.38	0.532	Short Term
GSE53598	36	0.37	0.198	Short Term
GSE104079	58	0.3	0.0156	Short Term
GSE1295	6	0.56	0.795	Long Term
GSE28998	14	0.86	0.0198	Long Term
GSE33886	6	1.0	0.0231	Long Term
GSE34788	60	0.57	0.351	Long Term
GSE48278	20	0.65	0.301	Long Term
GSE58249	14	0.61	0.406	Long Term
GSE17190	24	0.56	0.655	Long Term
GSE165630	14	1.0	1.55e-05	Long Term
GSE99963	14	0.92	0.00713	Long Term
GSE68072	23	0.79	0.0151	Long Term
GSE155271	13	0.65	0.213	Long Term
GSE9103	20	0.7	0.529	Long Term
GSE46075	16	0.78	0.0865	Long Term
GSE28422	54	0.57	0.345	Long Term
GSE28498	38	0.7	0.0242	Long Term
GSE83352	8	0.62	0.845	Long Term
GSE97084	37	0.67	0.128	Long Term
GSE111555	32	0.92	4.49e-05	Long Term
GSE155933	193	0.56	0.357	Long Term
GSE179394	50	0.6	0.273	Long Term
GSE117525	46	0.6	0.247	Long Term
